fault_desc,fault_type
"Windows 11开机后卡在登录界面，输入密码没反应，重启也没用",系统类
"MacBook Pro更新系统后，触控板失灵，点击和滑动都没反应",系统类
"电脑突然蓝屏，代码0x0000007B，重启后还是循环蓝屏",系统类
"Windows 10提示“无法验证此驱动程序的发布者”，导致显卡驱动安装失败",系统类
"Mac系统升级到Ventura后，外接显示器显示黑屏，只识别到分辨率1024x768",系统类
"电脑开机提示“找不到操作系统”，之前正常使用，突然断电后就这样了",系统类
"Windows 11的任务栏卡死，点击任何图标都没反应，只能强制关机",系统类
"MacBook Air睡眠后无法唤醒，按电源键屏幕不亮，必须长按强制重启",系统类
"安装Windows 10时，提示“磁盘分区表格式不支持”，无法继续安装",系统类
"电脑提示“系统资源不足，无法完成请求的服务”，打开浏览器都卡",系统类
"Office 2019的Word每次打开带图片的文档就崩溃，提示“Word已停止工作”",软件类
"Adobe Photoshop安装到90%时提示“无法提取文件，权限不足”，管理员身份运行也不行",软件类
"Excel 2021计算大量数据时卡顿，公式自动刷新失败，保存后文件损坏",软件类
"Chrome浏览器打开多个标签页后闪退，没有错误提示，重新安装也一样",软件类
"企业微信无法登录，提示“网络连接正常但服务器未响应”，其他软件能上网",软件类
"AutoCAD 2023启动时卡在加载界面，任务管理器显示“未响应”",软件类
"Outlook接收的附件是.exe文件，双击提示“此文件类型被管理员阻止”",软件类
"钉钉视频会议时麦克风没声音，检查设备管理器显示麦克风正常，权限已开启",软件类
"Visio画流程图时，复制粘贴图形会导致整个软件崩溃，只能重启",软件类
"Python安装第三方库时，pip命令提示“SSL证书验证失败”，换国内源也没用",软件类
"惠普打印机连接公司内网后，电脑能发现设备但打印时提示“无法通信”",硬件类
"佳能扫描仪通过USB连接电脑，设备管理器显示“未知设备”，换线换接口都不行",硬件类
"笔记本电脑的内置摄像头打开后是黑屏，设备管理器显示“该设备已禁用”，但无法启用",硬件类
"外接显示器通过HDMI连接笔记本，电脑识别到显示器但显示“无信号”",硬件类
"机械键盘部分按键（如A、S键）失灵，换电脑测试还是一样，排除接口问题",硬件类
"鼠标连接蓝牙后能用10分钟，之后自动断开，重新配对也只能维持几分钟",硬件类
"打印机提示“卡纸”，但打开后没找到纸张，重启后依然报错",硬件类
"扫描仪扫描文件时提示“纸张尺寸不匹配”，但实际放置的是A4纸",硬件类
"笔记本电脑电池充到60%就停止充电，电源管理里没找到限制设置",硬件类
"U盘插入电脑后没反应，指示灯不亮，换其他电脑也识别不到",硬件类
"公司内网突然断开，右下角网络图标显示“未识别的网络”，同办公室其他人正常",网络类
"VPN登录时提示“认证失败”，账号密码正确，同事能正常登录",网络类
"连接公司WiFi后有信号但上不了网，IP地址显示“169.254.x.x”（自动私有地址）",网络类
"访问公司内部共享文件夹时提示“没有权限”，但管理员已分配权限",网络类
"Outlook发送邮件时卡在“正在发送”，接收正常，测试外网邮箱能发",网络类
"远程桌面连接服务器时提示“无法连接到远程计算机”，端口和IP都正确",网络类
"浏览器打开公司内网OA系统时提示“SSL证书错误”，添加例外后依然无法访问",网络类
"WiFi能连接但网速极慢（10kb/s），插网线后速度正常，排除路由器问题",网络类
"使用公司VPN时，微信能发消息但网页打不开，断开VPN后恢复正常",网络类
"内网打印机共享时，提示“无法找到网络路径”，防火墙已关闭",网络类
"Windows 10更新后，网络适配器在设备管理器里消失了，重启也没恢复",系统类
"Mac系统提示“启动磁盘空间不足”，但删除文件后空间没变化",系统类
"电脑开机后提示“CMOS电池电量低”，每次开机都要重新设置时间",系统类
"Windows 7升级到Windows 10后，声卡驱动丢失，没声音且无法安装驱动",系统类
"MacBook外接移动硬盘后，硬盘里的文件变成乱码，无法打开",系统类
"电脑提示“虚拟内存不足”，设置里已将虚拟内存调至最大，依然报错",系统类
"开机后弹出“系统无法找到指定的驱动程序”，但没说明是哪个驱动",系统类
"Windows Defender突然自动关闭，手动开启时提示“该服务无法启动”",系统类
"笔记本电脑休眠后唤醒，屏幕花屏，只能强制关机重启",系统类
"Mac系统“访达”频繁闪退，重启后几分钟又会崩溃",系统类
"Word文档保存时提示“该文件正在被另一个程序使用”，但没有其他窗口打开",软件类
"PPT播放时插入的视频无法播放，提示“找不到此文件”，但视频就在同一文件夹",软件类
"PDF文件用Adobe打开时提示“文件已损坏”，但用浏览器能正常打开",软件类
"企业微信接收的压缩包解压时提示“文件损坏或密码错误”，但同事能正常解压",软件类
"Chrome浏览器无法下载文件，点击下载后没反应，清除缓存也没用",软件类
"Excel表格里的VLOOKUP函数返回“#N/A”，但查找值明明存在，格式也一致",软件类
"钉钉打卡时定位错误，显示在其他城市，手机定位正常，重新安装钉钉无效",软件类
"Photoshop的画笔工具使用时卡顿，画布放大后更明显，电脑配置足够",软件类
"Visio保存文件时提示“磁盘空间不足”，但实际磁盘还有50GB空间",软件类
"Python运行爬虫脚本时，提示“urllib3.connectionpool: Max retries exceeded”",软件类
"兄弟打印机无线打印时，进度条卡在0%，有线连接打印正常",硬件类
"爱普生扫描仪扫描彩色文件时，输出的是黑白图像，设置里已选彩色模式",硬件类
"笔记本摄像头在Teams会议中正常，但在Zoom里打开是绿屏",硬件类
"双显示器扩展模式下，拖动窗口到第二屏时窗口会消失，只能在任务栏找回",硬件类
"无线键盘输入时延迟严重，按键后1-2秒才显示字符，换电池无效",硬件类
"蓝牙鼠标移动时指针跳帧，尤其是在桌面边缘时，靠近接收器也没用",硬件类
"打印机打印出来的文件有横向条纹，更换墨盒后依然存在",硬件类
"扫描仪扫描速度突然变慢，一张A4纸要扫1分钟，之前只要10秒",硬件类
"笔记本电脑充电时充电器发烫严重，触摸外壳能感觉到热量，之前没这么烫",硬件类
"移动硬盘在Mac上能正常读写，但在Windows电脑上显示“需要格式化”",硬件类
"连接公司内网后，能上QQ但打不开网页，DNS设置和同事一致",网络类
"VPN连接成功后，访问公司内网服务器提示“超时”，但ping服务器能通",网络类
"公司WiFi显示“已连接，无Internet”，手机连接同一WiFi能正常上网",网络类
"远程桌面连接时能看到登录界面，但输入密码后卡在“正在登录”",网络类
"内网共享文件夹能看到但无法访问，提示“权限不够”，管理员已重新授权",网络类
"WiFi频繁掉线，平均5分钟一次，重启路由器后能维持半小时",网络类
"VPN客户端安装时提示“与系统不兼容”，电脑是Windows 11，客户端支持该系统",网络类
"连接投影仪后，电脑屏幕正常但投影仪显示“分辨率不支持”",硬件类
"打印机队列里的任务删除后，重新打印会提示“该任务已被删除”，需重启打印机",硬件类
"Windows 10系统突然提示“你的设备遇到问题，需要重启”，重启后正常",系统类
"MacBook Pro合上盖子后不会休眠，依然在运行，电池消耗很快",系统类
"电脑开机后提示“硬盘即将损坏，请备份数据”，用检测工具扫描有坏道",系统类
"Windows更新失败，提示“0x80070005 - 拒绝访问”，尝试多种修复工具无效",系统类
"Mac系统“活动监视器”显示某个进程占用100%CPU，但无法强制退出",系统类
"电脑提示“内存不足”，但任务管理器显示只占用了50%内存",系统类
"开机后弹出“无法加载用户配置文件”，登录后桌面图标全部消失",系统类
"Windows Defender扫描时卡住，进度条不动，重启后扫描依然卡住",系统类
"笔记本电脑在使用电池时突然自动关机，电量显示还有30%",系统类
"Mac系统外接U盘后，无法安全弹出，提示“该设备正在被使用”，但已关闭所有文件",系统类
"Office 365提示“未授权产品”，重新激活后能用1天，之后再次提示未授权",软件类
"Adobe Acrobat打开PDF时提示“无法打开此文档，因为它不是支持的文件类型”",软件类
"Excel筛选功能失效，点击筛选按钮后没反应，其他表格正常",软件类
"企业微信消息发送失败，提示“消息已发出但被对方拒收”，但对方并未拉黑",软件类
"Chrome浏览器打开某些网站时提示“ERR_CONNECTION_RESET”，换浏览器能打开",软件类
"PPT插入的音频无法播放，提示“找不到音频设备”，但电脑播放音乐正常",软件类
"钉钉直播时共享屏幕没声音，麦克风正常，已勾选“共享系统声音”",软件类
"AutoCAD保存文件时提示“文件被锁定”，但没有其他用户打开该文件",软件类
"Outlook发送带附件的邮件时卡住，附件大小只有5MB，未超过限制",软件类
"Python使用pandas读取Excel时提示“XLRDError: Excel xlsx file; not supported”",软件类
"三星打印机显示“墨粉不足”，但刚更换新的墨粉盒",硬件类
"佳能扫描仪无法识别PDF格式，扫描后只能保存为JPG，设置里有PDF选项",硬件类
"笔记本摄像头在拍照时正常，但录制视频时画面卡顿，帧率极低",硬件类
"显示器在开机10分钟后自动黑屏，电源灯亮着，重启显示器后恢复",硬件类
"有线键盘在电脑开机时能用，进入系统后突然失灵，设备管理器无异常",硬件类
"鼠标滚轮上下滚动时，页面会左右移动，设置里已勾选“垂直滚动”",硬件类
"打印机打印多页文件时，第3页开始内容错位，纸张放置正确",硬件类
"扫描仪扫描厚纸（如名片）时提示“卡纸”，薄纸扫描正常",硬件类
"笔记本电脑插电使用时屏幕闪烁，用电池时正常，排除电源适配器问题",硬件类
"SD卡插入读卡器后，电脑能识别但无法打开，提示“请插入磁盘”",硬件类
"内网电脑能访问服务器，但无法访问互联网，DNS设置正确",网络类
"VPN连接后能访问部分内网资源，无法访问OA系统，同事可以访问",网络类
"公司WiFi连接后显示“受限”，IP地址为自动获取，手动设置IP后正常",网络类
"远程桌面连接成功后，操作时频繁卡顿，ping值显示正常（<50ms）",网络类
"共享文件夹里的文件无法删除，提示“该文件正在被另一用户使用”，但无人打开",网络类
"WiFi信号满格但网速只有100kb/s，测试其他设备连接同一WiFi网速正常",网络类
"VPN登录成功后，电脑无法访问本地局域网，断开VPN后恢复",网络类
"连接投影仪后，电脑分辨率变低，调回原来的分辨率后投影仪显示不全",硬件类
"打印机打印彩色文件时，红色显示为粉色，其他颜色正常，校准墨盒无效",硬件类
"Windows 11右键菜单反应慢，点击后要3-5秒才弹出，重启后暂时正常",系统类
"MacBook Air在使用外接键盘时，偶尔会自动输入重复字符（如连续输入“ssss”）",系统类
"电脑开机提示“CPU风扇错误”，打开机箱检查风扇在转，清理灰尘后依然提示",系统类
"Windows更新后，蓝牙功能消失，设备管理器里找不到蓝牙适配器",系统类
"Mac系统“照片”应用导入手机照片时，提示“无法读取文件”，手机照片正常",系统类
"电脑提示“应用程序无法正常启动(0xc000007b)”，重新安装该程序无效",系统类
"开机后系统时间自动变回2020年，更换CMOS电池后依然如此",系统类
"Windows Defender防火墙无法启动，服务里显示“已停止”，启动时提示错误",系统类
"笔记本电脑在运行时突然黑屏，电源灯亮着，强制关机后无法重启",系统类
"Mac系统升级后，部分应用（如微信）无法打开，提示“需要更新才能使用”",系统类
"Word文档在编辑时突然自动关闭，再次打开后提示“文档已损坏，无法修复”",软件类
"PPT插入的图表无法更新数据，提示“链接已断开”，重新链接数据源无效",软件类
"PDF文件用Foxit打开时文字乱码，用Adobe打开正常，字体已安装齐全",软件类
"企业微信接收的图片无法显示，只显示灰色方块，重新下载也没用",软件类
"Chrome浏览器打开某些网站时，页面显示错乱，其他浏览器正常",软件类
"Excel数据透视表刷新时提示“引用无效”，数据源未被移动或删除",软件类
"钉钉直播时共享屏幕，观众看到的画面是静止的，自己这边显示正常",软件类
"Photoshop保存为JPG格式时，提示“无法完成请求，因为程序错误”",软件类
"Visio插入的CAD图纸显示不全，只能看到部分内容，CAD文件完整",软件类
"Python使用pandas处理大数据时，提示“MemoryError”，电脑内存16GB",软件类